partNumber,partName,subsystem,subsystemCode,status,material,machine,inStock,baseline,unitCost,comments
100-008,,,,assembled,1/2,Lathe,,,,
100-009,,,,assembled,"1/8"" Aluminum - Sheet",Purchase,,,,
100-010,,,,assembled,"1/2"" Aluminum - Hex",Lathe,,,,
100-011,,,,assembled,"1/8"" Aluminum - Sheet",Purchase,,,,
100-012,,,,assembled,"1/2"" Aluminum - Hex",Lathe,,,,
100-013,,,,assembled,"1/8"" Aluminum - Sheet",Purchase,,,,
100-014,,,,assembled,PLA,3D Printer,,,,
100-015,,,,assembled,3mm Polycarbonate,CNC Router,,,,
100-016,,,,assembled,"1/16"" Aluminum - Sheet",Purchase,,,,
100-017,,,,assembled,3mm Polycarbonate,CNC Router,,,,
100-018,,,,assembled,"1/16"" Aluminum - Sheet",Purchase,,,,
100-019,,,,manufactured,"1"" Aluminum - Angle",Manual Mill,,,,
100-020,,,,assembled,"1/16"" Aluminum - Sheet",Purchase,,,,
100-021,,,,assembled,"3/8"" Aluminum - Rod",Lathe,,,,
100-022,,,,assembled,"1/8"" Aluminum - Sheet",Purchase,,,,
100-023,,,,assembled,"1/8"" Aluminum - Sheet",Purchase,,,,
100-024,,,,not_used,PLA,3D Printer,,,,
100-025,,,,not_used,PLA,3D Printer,,,,
100-026,,,,assembled,PETG,3D Printer,,,,
100-027,,,,assembled,PETG,3D Printer,,,,
100-028,,,,assembled,PETG,3D Printer,,,,
100-029,,,,assembled,"1/8"" Aluminum - Sheet",CNC Router,,,,"0.001"" Tolerance on bearing fitting? Could be made with 0.095"" or 1/16"" Sheet"
200-001,,,,assembled,6mm Polycarbonate,CNC Router,,,,
200-002,,,,assembled,"1/8"" Aluminum - Sheet",Purchase,,,,
200-003,,,,not_used,6mm Polycarbonate,CNC Router,,,,???? (qty in sheet: ?)
200-004,,,,not_used,"1/2"" Aluminum - Hex",Lathe,,,,(qty in sheet: ?)
200-005,,2026 Offseason Robot,,design,TPU,3D Printer,,,,
200-005,,,,not_used,PLA,3D Printer,,,,????? (qty in sheet: ?)
200-006,,,,not_used,"1/2"" Aluminum - Hex",Lathe,,,,????? (qty in sheet: ?)
200-007,,,,assembled,"1/2"" Aluminum - Hex",Lathe,,,,
200-008,,,,assembled,6mm Polycarbonate,CNC Router,,,,
200-009,,,,assembled,3mm Polycarbonate Tube,Lathe,,,,"OnShape ""release"" slow, approved by Andrew"
200-010,,,,assembled,CF-Nylon,3D Printer,,,,
200-011,,,,not_used,"1/2"" Aluminum - Hex",Lathe,,,,????? (qty in sheet: ?)
200-012,,,,assembled,"3/8"" Aluminum - Rod",Lathe,,,,
200-013,,,,assembled,3mm Polycarbonate Tube,Lathe,,,,"OnShape ""release"" slow, approved by Andrew"
200-014,,,,assembled,3mm Polycarbonate,CNC Router,,,,
200-015,,,,manufactured,3mm Polycarbonate,CNC Router,,,,Simmilar to 200-023
200-016,,,,assembled,PLA,3D Printer,,,,
200-017,,,,manufactured,"1/2"" Aluminum - Angle",Manual Mill,,,,
200-018,,,,assembled,"1/2"" Aluminum - Angle",Manual Mill,,,,
200-019,,,,assembled,PLA,3D Printer,,,,
200-020,,,,assembled,6mm Polycarbonate,CNC Router,,,,
200-021,,,,manufactured,6mm Polycarbonate,CNC Router,,,,
200-022,,,,manufactured,"1"" Aluminum - Angle",Manual Mill,,,,
200-023,,,,manufactured,3mm Polycarbonate,CNC Router,,,,Simmilar to 200-015
200-024,,,,design,3mm Polycarbonate,CNC Router,,,,
200-025,,,,design,3mm Polycarbonate,CNC Router,,,,
200-026,,,,manufactured,"1 1/2"" Aluminum - Angle",Manual Mill,,,,
200-027,,,,design,3mm Polycarbonate,CNC Router,,,,
200-028,,,,manufactured,"3/4"" Aluminum - Angle",Manual Mill,,,,
200-029,,,,manufactured,3mm Polycarbonate,CNC Router,,,,
200-030,,,,manufactured,3mm Polycarbonate,CNC Router,,,,
200-031,,,,manufactured,"1"" Aluminum - Angle",Manual Mill,,,,
200-032,,,,manufactured,"1/8"" Aluminum - Sheet",Manual Mill,,,,
200-033,,,,manufactured,"3/4"" Aluminum - Angle",Manual Mill,,,,
200-034,,,,assembled,Home Depot ABS,Lathe,,,,????
200-035,,,,assembled,Home Depot ABS,Lathe,,,,
200-036,,,,manufactured,"3/8"" Aluminum - Rod",Lathe,,,,"OnShape ""release"" slow, approved by Andrew"
200-037,,,,manufactured,"3/4"" Aluminum - Angle",Manual Mill,,,,
200-038,,,,manufactured,"1/2"" Aluminum - Angle",Manual Mill,,,,
200-039,,,,manufactured,"3/4"" Aluminum - Angle",Manual Mill,,,,
200-040,,,,manufactured,"3/8"" Aluminum - Rod",Lathe,,,,"OnShape ""release"" slow, approved by Andrew"
200-041,,,,assembled,UHMW,CNC Router,,,,
200-042,,,,assembled,UHMW,CNC Router,,,,
200-043,,,,manufactured,"1/2"" Aluminum - Angle",Manual Mill,,,,
200-044,,,,manufactured,"3/8"" Aluminum - Rod",Lathe,,,,
200-045,,,,manufactured,"1"" Aluminum - Angle",Manual Mill,,,,
200-046,,,,manufactured,"1"" Aluminum - Angle",Manual Mill,,,,
200-047,,,,assembled,"3/8"" Aluminum - Rod",Lathe,,,,
200-048,,,,manufactured,"1/8"" Aluminium - Angle",Manual Mill,,,,
200-049,,,,manufactured,"1/8"" Aluminium - Angle",Manual Mill,,,,
200-050,,,,assembled,"1/2"" Aluminum - Hex",Lathe,,,,
200-100,,2026 Offseason Robot,,design,PETG,3D Printer,,,,
200-101,,2026 Offseason Robot,,design,PETG,3D Printer,,,,
200-102,,2026 Offseason Robot,,design,PETG,3D Printer,,,,
300-001,,,,assembled,"1/8"" Aluminum - Sheet",Purchase,,,,
300-002,,,,assembled,"1/2"" Aluminum Hex",Lathe,,,,
300-003,,,,assembled,"2"" Aluminum Channel",Manual Mill,,,,
300-004,,,,assembled,"2"" Aluminum Channel",Manual Mill,,,,
300-005,,,,assembled,6mm Polycarbonate,CNC Router,,,,
300-006,,,,assembled,"3/8"" Aluminum Rod",Lathe,,,,
300-007,,,,assembled,"3/4"" Aluminum Angle",Manual Mill,,,,
300-008,,,,assembled,"1/2"" Aluminum Hex",Lathe,,,,
300-009,,,,design,PLA,3D Printer,,,,
300-010,,,,design,PLA,3D Printer,,,,
300-011,,,,released,"1/2"" Aluminum Hex",Lathe,,,,
400-001,,,,assembled,"1/2"" Hex",Lathe,,,,Being Redone
400-002,,,,not_used,PLA,3D Printer,,,,
400-003,,,,assembled,"1/2"" Hex",Lathe,,,,
400-004,,,,assembled,"3/16"" Aluminum - Sheet",CNC Router,,,,
400-005,,,,assembled,"3/16"" Aluminum - Sheet",CNC Router,,,,
400-006,,,,assembled,ABS,3D Printer,,,,
400-007,,,,not_used,"3/8"" Aluminum - Round",Lathe,,,,
400-008,,,,assembled,PLA,3D Printer,,,,
400-009,,,,not_used,PLA,3D Printer,,,,
400-010,,,,assembled,"3/8"" Aluminum - Round",Lathe,,,,
400-011,,,,assembled,ABS,3D Printer,,,,
400-012,,,,assembled,ABS,3D Printer,,,,
400-013,,,,not_used,PLA,3D Printer,,,,???
400-014,,,,assembled,"1/2"" Hex",Lathe,,,,
500-001,,,,assembled,"1/8"" Aluminum - Sheet",Purchase,,,,"Fabworks, Also known as ""Lantern Gear"""
500-002,,,,assembled,"1/2"" UHMW - Sheet",CNC Router,,,,
500-003,,,,assembled,ABS,3D Printer,,,,
500-004,,,,assembled,"1/4"" Aluminum - Sheet",CNC Router,,,,
500-005,,,,assembled,"1/4"" Aluminum - Sheet",Purchase,,,,
500-006,,,,assembled,"1/8"" Aluminum - Sheet",CNC Router,,,,
500-007,,,,assembled,ABS,3D Printer,,,,
500-008,,,,assembled,"1/4"" Aluminum - Sheet",Purchase,,,,
500-009,,,,assembled,1x1 Aluminum Boxtube,CNC Router,,,,
500-010,,,,assembled,1x1 Aluminum Boxtube,CNC Router,,,,
500-011,,,,assembled,1x1 Alumninum Boxtube,CNC Router,,,,
500-012,,,,assembled,"1/8"" Aluminum - Sheet",Purchase,,,,
500-013,,,,assembled,1x1 Aluminum Boxtube,CNC Router,,,,
500-014,,,,assembled,1x1 Aluminum Boxtube,CNC Router,,,,
500-015,,,,assembled,"1/8"" Aluminum - Sheet",Purchase,,,,
500-016,,,,assembled,"1"" Aluminum - Angle",Manual Mill,,,,
500-017,,,,assembled,"1/8"" Aluminum - Sheet",Purchase,,,,
500-018,,,,assembled,"1"" Aluminum - Angle",Manual Mill,,,,
500-019,,,,manufactured,"1/2"" Aluminum - Hex",Lathe,,,,
500-020,,,,assembled,PLA,3D Printer,,,,
500-021,,,,not_used,PLA,3D Printer,,,,???
500-022,,,,assembled,3mm Polycarbonate,CNC Router,,,,
500-023,,,,assembled,3mm Polycarbonate,CNC Router,,,,
500-024,,,,assembled,"3/8"" Aluminum - Rod",Lathe,,,,
500-025,,,,assembled,"3/8"" Aluminum - Rod",Lathe,,,,
500-026,,,,assembled,PLA,3D Printer,,,,
500-027,,,,assembled,"3/8"" Aluminum - Rod",Manufactured,,,,
500-028,,,,assembled,PLA,3D Printer,,,,
500-029,,,,assembled,"3/8"" Aluminum - Rod",Lathe,,,,????
500-030,,,,assembled,"1/8"" Aluminum - Sheet",Purchase,,,,
500-031,,,,assembled,"2"" Aluminum - Angle",Manual Mill,,,,
500-032,,,,assembled,"2"" Aluminum - Angle",Manual Mill,,,,
500-033,,,,assembled,PLA,3D Printer,,,,
500-034,,,,assembled,PETG,3D Printer,,,,
500-035,,,,assembled,PETG,3D Printer,,,,
500-036,,,,assembled,"1/4"" Aluminum - Sheet",CNC Router,,,,
500-037,,,,assembled,PETG,3D Printer,,,,
500-038,,,,assembled,"1/2"" Hex",Lathe,,,,
500-039,,,,assembled,PETG,3D Printer,,,,
500-040,,,,assembled,"1/8"" Aluminum - Sheet",Purchase,,,,
500-041,,,,manufactured,"2"" Aluminum - Angle",Manual Mill,,,,
500-042,,,,assembled,PETG,3D Printer,,,,
500-043,,,,assembled,PLA,3D Printer,,,,
500-044,,,,manufactured,"1/8"" Aluminum - Sheet",CNC Router,,,,
500-100,,,,assembled,"1/2"" Hex",Lathe,,,,
500-101,,,,assembled,"1/2"" Hex",Lathe,,,,
500-102,,,,assembled,"1/2"" Hex",Lathe,,,,
500-103,,,,assembled,"1/2"" Hex",Lathe,,,,
500-104,,,,assembled,"1/4"" Aluminum - Sheet",CNC Router,,,,
500-105,,,,assembled,"1/4"" Aluminum - Sheet",CNC Router,,,,
600-001,,,,manufactured,1x1 Aluminum Boxtube,CNC Router,,,,
600-002,,,,manufactured,1.5x1.5 Aluminum Boxtube,CNC Router,,,,
600-003,,,,manufactured,"3/8"" Aluminum - Rod",Lathe,,,,
600-004,,,,manufactured,"1/8"" Aluminum - Sheet",CNC Router,,,,
600-005,,,,manufactured,"2.25"" Round Stock",Lathe,,,,
600-006,,,,manufactured,"1/8"" Aluminum - Sheet",CNC Router,,,,
600-007,,,,manufactured,PLA,3D Printer,,,,
600-008,,,,manufactured,"1/8"" Aluminum - Sheet",CNC Router,,,,
600-009,,,,manufactured,"1/8"" Aluminum - Sheet",CNC Router,,,,
600-010,,,,manufactured,PETG,3D Printer,,,,
600-011,,,,manufactured,"3/8"" Aluminum - Rod",Lathe,,,,
600-012,,,,manufactured,"3/8"" Aluminum - Rod",Lathe,,,,
600-013,,,,manufactured,"1/2"" Hex",Lathe,,,,
600-014,,,,manufactured,"1/2"" Hex",Lathe,,,,
,,2026 Offseason Robot,,ordered,,Purchase,,,,WCP: 2 currently on 2026 season robot
,,2026 Offseason Robot,,ordered,,Purchase,,,,Bearings Canada Ordered from here: https://www.amazon.ca/dp/B082PPPSPT
,,2026 Offseason Robot,,in_stock,,Purchase,,,,
,,,,not_started,,,,,,
,,2026 Offseason Robot,,ordered,,Purchase,,,,WCP: https://andymark.com/products/1-2-in-hex-ratchet-plate?srsltid=AfmBOorB8CO8lICLl3hI5vUkPEBx3weuAuf_PeWSRMpgduO4stoSnJkY
,,2026 Offseason Robot,,in_stock,,Purchase,,,,
,,2026 Offseason Robot,,in_stock,,Purchase,,,,
,,2026 Offseason Robot,,in_stock,,Purchase,,,,
,,2026 Offseason Robot,,ordered,,Purchase,,,,WCP Ordered from here: https://www.aliexpress.com/item/32226744897.html
,,2026 Offseason Robot,,in_stock,,Purchase,,,,
